id,continent_id,name
1,1,ussr
2,7,guyana
3,4,ireland
4,1,dominican rep.
5,1,cote d'ivoire
6,7,venezuela
7,4,united kingdom
8,4,monaco
9,5,panama
10,3,oman
11,5,mexico
12,4,belgium
13,2,togo
14,1,lao
15,5,honduras
16,4,lithuania
17,3,jordan
18,2,libya
19,5,dominica
20,6,tonga
21,4,montenegro
22,2,botswana
23,2,morocco
24,2,equatorial guinea
25,3,kazakhstan
26,3,thailand
27,4,netherlands
28,1,totalt
29,5,bahamas
30,7,uruguay
31,2,eritrea
32,5,saint kitts and nevis
33,5,costa rica
34,4,albania
35,1,slovak republic
36,1,east germany
37,4,san marino
38,1,"congo, dem. rep."
39,3,kuwait
40,3,kyrgyzstan
41,3,qatar
42,6,samoa
43,1,serbia and montenegro
44,3,maldives
45,5,trinidad and tobago
46,4,slovenia
47,5,saint vincent and the grenadines
48,2,tunisia
49,3,malaysia
50,7,peru
51,3,nepal
52,4,malta
53,4,belarus
54,2,guinea
55,6,nauru
56,2,ghana
57,1,kyrgyz republic
58,3,india
59,2,sierra leone
60,5,nicaragua
61,4,iceland
62,3,iraq
63,1,niue
64,2,ethiopia
65,1,"yemen, rep."
66,5,barbados
67,2,sao tome and principe
68,1,czech rep.
69,2,swaziland
70,5,el salvador
71,4,croatia
72,4,andorra
73,7,bolivia
74,2,djibouti
75,4,france
76,6,fiji
77,2,zambia
78,2,seychelles
79,3,afghanistan
80,4,cyprus
81,3,uzbekistan
82,4,hungary
83,2,gabon
84,3,cambodia
85,2,central african republic
86,7,colombia
87,2,cameroon
88,4,germany
89,5,jamaica
90,4,finland
91,6,australia
92,3,china
93,7,suriname
94,2,niger
95,2,sudan
96,1,west germany
97,3,japan
98,1,palestine
99,6,new zealand
100,2,gambia
101,2,nigeria
102,2,zimbabwe
103,1,"macedonia, fyr"
104,4,spain
105,2,rwanda
106,4,denmark
107,4,norway
108,4,bosnia and herzegovina
109,2,madagascar
110,2,mauritania
111,2,egypt
112,1,myanmar
113,3,turkey
114,2,cape verde
115,5,antigua and barbuda
116,6,tuvalu
117,1,united states
118,5,cuba
119,3,tajikistan
120,5,guatemala
121,1,yugoslavia
122,3,laos
123,1,central african rep.
124,2,lesotho
125,3,bhutan
126,3,mongolia
127,2,namibia
128,3,vietnam
129,2,senegal
130,3,philippines
131,1,south korea
132,2,somalia
133,5,canada
134,4,poland
135,2,chad
136,2,liberia
137,3,saudi arabia
138,4,italy
139,2,burundi
140,5,haiti
141,3,indonesia
142,4,portugal
143,2,mali
144,3,israel
145,4,ukraine
146,7,brazil
147,6,palau
148,3,pakistan
149,6,papua new guinea
150,4,switzerland
151,2,tanzania
152,4,romania
153,3,syria
154,4,bulgaria
155,5,saint lucia
156,2,uganda
157,5,dominican republic
158,3,turkmenistan
159,2,angola
160,4,latvia
161,2,algeria
162,3,united arab emirates
163,2,south africa
164,7,paraguay
165,1,cook is
166,3,bangladesh
167,4,estonia
168,1,timor-leste
169,3,bahrain
170,3,yemen
171,6,kiribati
172,3,singapore
173,4,greece
174,4,sweden
175,2,mauritius
176,1,"korea, dem. rep."
177,2,comoros
178,2,mozambique
179,7,ecuador
180,5,belize
181,2,kenya
182,1,czech republic
183,6,vanuatu
184,1,russia
185,1,burkina faso
186,4,moldova
187,4,azerbaijan
188,7,chile
189,1,north korea
190,2,benin
191,1,"congo, rep."
192,3,iran
193,4,georgia
194,4,luxembourg
195,6,marshall islands
196,2,guinea-bissau
197,2,malawi
198,4,austria
199,7,argentina
200,3,brunei
201,1,"micronesia, fed. sts."
202,3,sri lanka
203,1,czechoslovakia
204,3,lebanon
205,4,armenia
206,5,grenada
207,1,"korea, rep."
208,4,serbia
209,6,solomon islands
