id,country_id,index,year
1,79,25.0,2006
2,79,25.0,2007
3,79,25.0,2008
4,79,25.0,2009
5,79,25.0,2010
6,79,25.0,2011
7,79,25.0,2012
8,79,25.0,2013
9,79,25.0,2014
10,79,25.0,2015
11,79,25.0,2016
12,79,25.0,2017
13,34,56.3,2006
14,34,56.3,2007
15,34,56.3,2008
16,34,53.1,2009
17,34,50.0,2010
18,34,50.0,2011
19,34,50.0,2012
20,34,50.0,2013
21,34,50.0,2014
22,34,50.0,2015
23,34,50.0,2016
24,34,50.0,2017
25,161,56.3,2006
26,161,56.3,2007
27,161,56.3,2008
28,161,56.3,2009
29,161,56.3,2010
30,161,56.3,2011
31,161,56.3,2012
32,161,56.3,2013
33,161,56.3,2014
34,161,62.5,2015
35,161,50.0,2016
36,161,50.0,2017
37,159,56.3,2006
38,159,50.0,2007
39,159,43.8,2008
40,159,43.8,2009
41,159,43.8,2010
42,159,43.8,2011
43,159,43.8,2012
44,159,43.8,2013
45,159,43.8,2014
46,159,43.8,2015
47,159,43.8,2016
48,159,50.0,2017
49,199,56.3,2006
50,199,56.3,2007
51,199,56.3,2008
52,199,59.4,2009
53,199,62.5,2010
54,199,62.5,2011
55,199,62.5,2012
56,199,62.5,2013
57,199,62.5,2014
58,199,68.8,2015
59,199,68.8,2016
60,199,68.8,2017
61,205,31.3,2006
62,205,31.3,2007
63,205,31.3,2008
64,205,31.3,2009
65,205,31.3,2010
66,205,31.3,2011
67,205,31.3,2012
68,205,31.3,2013
69,205,31.3,2014
70,205,25.0,2015
71,205,18.8,2016
72,205,18.8,2017
73,91,87.5,2006
74,91,87.5,2007
75,91,87.5,2008
76,91,90.7,2009
77,91,93.8,2010
78,91,93.8,2011
79,91,93.8,2012
80,91,93.8,2013
81,91,87.5,2014
82,91,87.5,2015
83,91,87.5,2016
84,91,87.5,2017
85,198,87.5,2006
86,198,84.4,2007
87,198,81.3,2008
88,198,81.3,2009
89,198,81.3,2010
90,198,81.3,2011
91,198,81.3,2012
92,198,81.3,2013
93,198,75.0,2014
94,198,75.0,2015
95,198,68.8,2016
96,198,68.8,2017
97,187,37.5,2006
98,187,37.5,2007
99,187,37.5,2008
100,187,37.5,2009
101,187,37.5,2010
102,187,37.5,2011
103,187,37.5,2012
104,187,37.5,2013
105,187,37.5,2014
106,187,37.5,2015
107,187,37.5,2016
108,187,37.5,2017
109,169,50.0,2006
110,169,50.0,2007
111,169,50.0,2008
112,169,50.0,2009
113,169,50.0,2010
114,169,43.8,2011
115,169,43.8,2012
116,169,43.8,2013
117,169,43.8,2014
118,169,43.8,2015
119,169,43.8,2016
120,169,43.8,2017
121,166,62.5,2006
122,166,50.0,2007
123,166,37.5,2008
124,166,43.8,2009
125,166,50.0,2010
126,166,43.8,2011
127,166,43.8,2012
128,166,43.8,2013
129,166,43.8,2014
130,166,43.8,2015
131,166,43.8,2016
132,166,43.8,2017
133,53,43.8,2006
134,53,43.8,2007
135,53,43.8,2008
136,53,43.8,2009
137,53,43.8,2010
138,53,43.8,2011
139,53,43.8,2012
140,53,43.8,2013
