country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,25,25,25,25,25,25,25,25,25,25,25,25
Albania,56.3,56.3,56.3,53.1,50,50,50,50,50,50,50,50
Algeria,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,62.5,50,50
Angola,56.3,50,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,50
Argentina,56.3,56.3,56.3,59.4,62.5,62.5,62.5,62.5,62.5,68.8,68.8,68.8
Armenia,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,25,18.8,18.8
Australia,87.5,87.5,87.5,90.7,93.8,93.8,93.8,93.8,87.5,87.5,87.5,87.5
Austria,87.5,84.4,81.3,81.3,81.3,81.3,81.3,81.3,75,75,68.8,68.8
Azerbaijan,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5
Bahrain,50,50,50,50,50,43.8,43.8,43.8,43.8,43.8,43.8,43.8
Bangladesh,62.5,50,37.5,43.8,50,43.8,43.8,43.8,43.8,43.8,43.8,43.8
Belarus,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,62.5,62.5,62.5,56.3
Belgium,68.8,71.9,75,75,75,75,75,75,68.8,68.8,68.8,68.8
Benin,68.8,62.5,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3
Bhutan,37.5,40.6,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8
Bolivia,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5
Bosnia and Herzegovina,50,50,50,50,50,50,50,50,43.8,43.8,37.5,37.5
Botswana,68.8,65.7,62.5,65.7,68.8,68.8,68.8,75,75,75,75,75
Brazil,56.3,56.3,56.3,50,43.8,43.8,43.8,43.8,62.5,37.5,37.5,50
Bulgaria,50,53.1,56.3,50,43.8,43.8,43.8,43.8,50,50,43.8,43.8
Burkina Faso,56.3,53.1,50,43.8,37.5,37.5,37.5,50,50,56.3,56.3,56.3
Burundi,62.5,62.5,62.5,59.4,56.3,56.3,50,50,50,50,50,50
Cambodia,50,50,50,50,50,50,56.3,56.3,56.3,50,50,56.3
Cameroon,56.3,53.1,50,50,50,50,50,50,50,50,43.8,43.8
Canada,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5
Cape Verde,68.8,65.7,62.5,65.7,68.8,62.5,62.5,62.5,62.5,62.5,68.8,68.8
Central African Republic,18.8,18.8,18.8,21.9,25,25,25,25,25,25,25,18.8
Chad,50,46.9,43.8,43.8,43.8,37.5,37.5,37.5,37.5,37.5,37.5,37.5
Chile,62.5,62.5,62.5,65.7,68.8,62.5,62.5,68.8,68.8,68.8,68.8,75
China,62.5,62.5,62.5,59.4,56.3,56.3,50,50,50,62.5,62.5,62.5
Colombia,43.8,43.8,43.8,40.6,37.5,37.5,37.5,37.5,37.5,43.8,43.8,50
Comoros,56.3,53.1,50,43.8,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5
"Congo, Dem. Rep.",37.5,34.4,31.3,31.3,31.3,31.3,31.3,31.3,31.3,43.8,43.8,37.5
"Congo, Rep.",56.3,46.9,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5
Costa Rica,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8
Cote d'Ivoire,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3
Croatia,56.3,56.3,56.3,53.1,50,50,56.3,56.3,56.3,56.3,50,50
Cuba,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8
Cyprus,62.5,68.8,75,65.7,56.3,56.3,56.3,56.3,56.3,62.5,68.8,68.8
